DATE,DGS1MO,,,,,,,,,,,,,,,
11/1/2015,0.071052632,,,,,,,,,,,,,,,
12/1/2015,0.171818182,,,,,,,,,,,,,,,
1/1/2016,0.227368421,,,,,,,,,,,,,,,
2/1/2016,0.256,,,,,,,,,,,,,,,
3/1/2016,0.253181818,,,,,,,,,,,,,,,
4/1/2016,0.187619048,,,,,,,,,,,,,,,
5/1/2016,0.226190476,,,,,,,,,,,,,,,
6/1/2016,0.221363636,,,,,,,,,,,,,,,
7/1/2016,0.2635,,,,,,,,,,,,,,,
8/1/2016,0.260869565,,,,,,,,,,,,,,,
9/1/2016,0.191428571,,,,,,,,,,,,,,,
10/1/2016,0.244,,,,,,,,,,,,,,,
11/1/2016,0.3,,,,,,,,,,,,,,,
12/1/2016,0.423333333,,,,,,,,,,,,,,,
1/1/2017,0.496,,,,,,,,,,,,,,,
2/1/2017,0.482105263,,,,,,,,,,,,,,,
3/1/2017,0.662608696,,,,,,,,,,,,,,,
4/1/2017,0.745789474,,,,,,,,,,,,,,,
5/1/2017,0.728181818,,,,,,,,,,,,,,,
6/1/2017,0.841363636,,,,,,,,,,,,,,,
7/1/2017,0.972,,,,,,,,,,,,,,,
8/1/2017,0.979565217,,,,,,,,,,,,,,,
9/1/2017,0.994,,,,,,,,,,,,,,,
10/1/2017,0.995714286,,,,,,,,,,,,,,,
11/1/2017,1.09,,,,,,,,,,,,,,,
12/1/2017,1.204,,,,,,,,,,,,,,,
1/1/2018,1.3,,,,,,,,,,,,,,,
2/1/2018,1.380526316,,,,,,,,,,,,,,,
3/1/2018,1.636666667,,,,,,,,,,,,,,,
4/1/2018,1.66047619,,,,,,,,,,,,,,,
5/1/2018,1.706818182,,,,,,,,,,,,,,,
6/1/2018,1.805238095,,,,,,,,,,,,,,,
7/1/2018,1.893333333,,,,,,,,,,,,,,,
8/1/2018,1.940869565,,,,,,,,,,,,,,,
9/1/2018,2.036842105,,,,,,,,,,,,,,,
10/1/2018,2.173636364,,,,,,,,,,,,,,,
11/1/2018,2.2405,,,,,,,,,,,,,,,
12/1/2018,2.365789474,,,,,,,,,,,,,,,
1/1/2019,2.40047619,,,,,,,,,,,,,,,
2/1/2019,2.425263158,,,,,,,,,,,,,,,
3/1/2019,2.454285714,,,,,,,,,,,,,,,
4/1/2019,2.425714286,,,,,,,,,,,,,,,
5/1/2019,2.396363636,,,,,,,,,,,,,,,
6/1/2019,2.222,,,,,,,,,,,,,,,
7/1/2019,2.153181818,,,,,,,,,,,,,,,
8/1/2019,2.067727273,,,,,,,,,,,,,,,
9/1/2019,1.986,,,,,,,,,,,,,,,
10/1/2019,1.725454545,,,,,,,,,,,,,,,
11/1/2019,1.583684211,,,,,,,,,,,,,,,
12/1/2019,1.551428571,,,,,,,,,,,,,,,
1/1/2020,1.533333333,,,,,,,,,,,,,,,
2/1/2020,1.576315789,,,,,,,,,,,,,,,
3/1/2020,0.370454545,,,,,,,,,,,,,,,
4/1/2020,0.11,,,,,,,,,,,,,,,
5/1/2020,0.0985,,,,,,,,,,,,,,,
6/1/2020,0.13,,,,,,,,,,,,,,,
7/1/2020,0.105909091,,,,,,,,,,,,,,,
8/1/2020,0.082380952,,,,,,,,,,,,,,,
9/1/2020,0.08952381,,,,,,,,,,,,,,,
10/1/2020,0.086666667,,,,,,,,,,,,,,,
11/1/2020,0.086842105,,,,,,,,,,,,,,,
