DATE,DGS1MO
2015-11-01,0.07105263157894736842
2015-12-01,0.17181818181818181818
2016-01-01,0.22736842105263157895
2016-02-01,0.25600000000000000000
2016-03-01,0.25318181818181818182
2016-04-01,0.18761904761904761905
2016-05-01,0.22619047619047619048
2016-06-01,0.22136363636363636364
2016-07-01,0.26350000000000000000
2016-08-01,0.26086956521739130435
2016-09-01,0.19142857142857142857
2016-10-01,0.24400000000000000000
2016-11-01,0.30000000000000000000
2016-12-01,0.42333333333333333333
2017-01-01,0.49600000000000000000
2017-02-01,0.48210526315789473684
2017-03-01,0.66260869565217391304
2017-04-01,0.74578947368421052632
2017-05-01,0.72818181818181818182
2017-06-01,0.84136363636363636364
2017-07-01,0.97200000000000000000
2017-08-01,0.97956521739130434783
2017-09-01,0.99400000000000000000
2017-10-01,0.99571428571428571429
2017-11-01,1.0900000000000000
2017-12-01,1.2040000000000000
2018-01-01,1.3000000000000000
2018-02-01,1.3805263157894737
2018-03-01,1.6366666666666667
2018-04-01,1.6604761904761905
2018-05-01,1.7068181818181818
2018-06-01,1.8052380952380952
2018-07-01,1.8933333333333333
2018-08-01,1.9408695652173913
2018-09-01,2.0368421052631579
2018-10-01,2.1736363636363636
2018-11-01,2.2405000000000000
2018-12-01,2.3657894736842105
2019-01-01,2.4004761904761905
2019-02-01,2.4252631578947368
2019-03-01,2.4542857142857143
2019-04-01,2.4257142857142857
2019-05-01,2.3963636363636364
2019-06-01,2.2220000000000000
2019-07-01,2.1531818181818182
2019-08-01,2.0677272727272727
2019-09-01,1.9860000000000000
2019-10-01,1.7254545454545455
2019-11-01,1.5836842105263158
2019-12-01,1.5514285714285714
2020-01-01,1.5333333333333333
2020-02-01,1.5763157894736842
2020-03-01,0.37045454545454545455
2020-04-01,0.11000000000000000000
2020-05-01,0.09850000000000000000
2020-06-01,0.13000000000000000000
2020-07-01,0.10590909090909090909
2020-08-01,0.08238095238095238095
2020-09-01,0.08952380952380952381
2020-10-01,0.08666666666666666667
2020-11-01,0.08684210526315789474
